report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-06-10,3.0,2.0,5.0,0.0,61,24365489.0,0.0,24365484.0,0.9994224583686286,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606601922,0,2,24365487,0,powerlaw
2003-06-11,3.0,2.0,5.0,0.0,62,24366474.0,0.0,24366469.0,0.9994224583687862,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460669866,0,2,24366472,0,powerlaw
2003-06-12,3.0,2.0,5.0,0.0,63,24367459.0,0.0,24367454.0,0.9994224583689479,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606795168,0,2,24367457,0,powerlaw
2003-06-13,3.0,2.0,5.0,0.0,64,24368444.0,0.0,24368439.0,0.999422458369122,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606891444,0,2,24368442,0,powerlaw
2003-06-16,3.0,2.0,5.0,0.0,67,24371400.0,0.0,24371395.0,0.9994224583696236,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460717854,0,2,24371398,0,powerlaw
2003-06-17,3.0,2.0,5.0,0.0,68,24372385.0,0.0,24372380.0,0.9994224583697916,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224607273904,0,2,24372383,0,powerlaw
2003-06-18,3.0,2.0,5.0,0.0,69,24373370.0,0.0,24373365.0,0.9994224583699516,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460736904,0,2,24373368,0,powerlaw
2003-06-19,3.0,2.0,5.0,0.0,70,24374356.0,0.0,24374351.0,0.9994224583701306,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224607463952,0,2,24374354,0,powerlaw
2003-06-20,3.0,2.0,5.0,0.0,71,24375341.0,0.0,24375336.0,0.999422458370292,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224607558638,0,2,24375339,0,powerlaw
2003-06-23,3.0,2.0,5.0,0.0,74,24378298.0,0.0,24378293.0,0.9994224583707914,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224607840962,0,2,24378296,0,powerlaw
2003-06-24,3.0,2.0,5.0,0.0,75,24379283.0,0.0,24379278.0,0.9994224583709582,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224607934764,0,2,24379281,0,powerlaw
2003-06-25,3.0,2.0,5.0,0.0,76,24380269.0,0.0,24380264.0,0.9994224583711212,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608028353,0,2,24380267,0,powerlaw
2003-06-26,3.0,2.0,5.0,0.0,77,24381254.0,0.0,24381249.0,0.9994224583713048,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460812172,0,2,24381252,0,powerlaw
2003-06-27,3.0,2.0,5.0,0.0,78,24382240.0,0.0,24382235.0,0.9994224583714654,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608214868,0,2,24382238,0,powerlaw
2003-06-30,3.0,2.0,5.0,0.0,81,24385198.0,0.0,24385193.0,0.9994224583719628,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608492565,0,2,24385196,0,powerlaw
2003-07-01,3.0,2.0,5.0,0.0,82,24386183.0,0.0,24386178.0,0.999422458372138,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460858486,0,2,24386181,0,powerlaw
2003-07-02,3.0,2.0,5.0,0.0,83,24387169.0,0.0,24387164.0,0.9994224583722991,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608676942,0,2,24387167,0,powerlaw
2003-07-03,3.0,2.0,5.0,0.0,84,24388155.0,0.0,24388150.0,0.9994224583724716,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608768816,0,2,24388153,0,powerlaw
2003-07-04,3.0,2.0,5.0,0.0,85,24389141.0,0.0,24389136.0,0.9994224583726268,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224608860478,0,2,24389139,0,powerlaw
2003-07-07,3.0,2.0,5.0,0.0,88,24392099.0,0.0,24392094.0,0.9994224583731496,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224609133688,0,2,24392097,0,powerlaw
